"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0.333420352034311,0,0,0,0.00765190516970372,0,0,0,0,0.269633694606542,0,0.0562313269234421,0,0,0.0616736418422354,0.154820774746762,0.116788981429113,0,0.0647540738952521,0.191849932479094,0.369873835075633
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0.338768047721488,0,0,0,0.0223217126973428,0,0,0,0,0.284430894483785,0,0.0675985249999591,0,0,0.0899541660099411,0.154837642807548,0.128441910948009,0,0.101716910983989,0.209725849766219,0.370634810925018
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",4.53427507578577,4.25721086888114,4.42602922218986,4.67707151227561,2.5663426708413,4.00330867528194,1.18023376764939,1.18467100700611,3.35228661148472,0.686262298764037,0.557613421735237,3.89489230723733,1.04656612201901,0.813807838045796,0.0263463458389873,0.228255220055751,1.78193426521567,1.74668584294663,1.73122764862446,0.255545678888527,2.1532330520228,2.38706106146216,4.73528914292881
"66",0,0,0.336342550053243,0,0,0,0.017294812457391,0,0,0,0,0.280025295893407,0,0.0673720132830764,0,0,0.0870540623950493,0.154826631722812,0.126742787920537,0,0.0963502104310366,0.210799897914512,0.366998612724759
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",9.23675478999873,8.66553297354788,8.52749829515925,9.50754334392712,5.28104630751549,8.13793790087458,2.35561791956692,2.39434429948378,6.80023837095939,1.41994283444355,1.17455466850875,7.51943358096385,2.12702531743436,1.56145760462256,0.171998991342981,0.564806177042121,3.48987942304479,3.33953465760009,3.33997566342116,0.561305230389865,4.22424943873343,4.56714887669452,9.1121679723757
"73",15.2049583964358,14.2613479822859,21.5259796182363,15.6411032552629,8.7204143996641,13.3882371648428,6.05798293918976,6.19722450712068,11.179899216567,3.71832753917074,3.09886808442183,19.0035367372049,5.51934065314313,3.93284841795345,0.599952606660291,1.5969625535124,8.88596725097475,8.39519076848534,8.43769502790464,1.50843814224031,10.766873596222,12.0167233835525,22.9881164522936
"74",7.97075555732416,7.478522115963,18.1636168544917,8.20714649240377,4.55886707834624,7.02642650239533,5.1086487215632,5.22401124040188,5.86941347485723,3.13238715046162,2.62464240704659,16.0286745407464,4.6582053322226,3.31825825189676,0.50160377803348,1.34161436580799,7.50040290636329,7.08305609142592,7.11747326611415,1.2823686147661,9.08171504353842,17.3440071356785,19.3910958693287
