"","x"
"385",0.058893420775566
"386",0.0495726661074909
"387",0.0170586048455025
"388",0.0163552486238402
"389",0.0078062282504245
"390",0.00507323541510228
"391",0.310678324800704
"392",0.516745909809767
"393",0.172088364442366
"394",0.0767037422029931
"395",0.502114720178337
"396",2.09181762451366
"397",2.51498974129257
"398",1.9038639064618
"399",1.00094606194916
"400",0.736425293105988
"401",0.50838133962673
"402",0.576828148782512
"403",0.348086828946318
"404",0.148937997237707
"405",0.0997690905845906
"406",0.341547974638846
"407",1.09297291314907
"408",0.66979199259574
"409",0.0932977203444416
"410",0.0199513193459358
"411",0.0111728597994958
"412",0.00569895011833206
"413",0.00290689574705838
"414",15.820679973429
"415",25.2829633034215
"416",13.4990872974869
"417",9.51391775012805
"418",6.99802228212079
"419",8.438707786017
"420",10.4899693555246
"421",7.29045782738068
"422",4.34103425543609
"423",2.77983911930116
"424",2.19655673015183
"425",6.60292795066374
"426",3.41514490347665
"427",1.26987953648795
"428",2.81700605779069
"429",2.83838299471538
"430",3.12730659364993
"431",2.20076762181056
"432",10.2718118359434
"433",16.5831286309908
"434",8.66748723886835
"435",4.5387068985544
"436",3.07739398294509
"437",7.95385088602505
"438",14.4495243264305
"439",16.0095065866584
"440",15.0644136287541
"441",11.1921549543361
"442",6.5680606355
"443",6.96265588891651
"444",4.16726461335802
"445",2.11571889912276
"446",1.2892505705714
"447",1.09639703527859
"448",8.6789372457101
"449",19.4860368225886
"450",22.579211227597
"451",15.3681828175064
"452",8.90303464844593
"453",5.9265762366602
"454",6.87652343881751
"455",7.07712578841412
"456",4.66119186710159
"457",4.19245926505187
"458",5.16594201922722
"459",11.1825307990415
"460",23.7093954904667
"461",27.6685810186403
"462",18.7906310362587
"463",11.0651114553898
"464",8.59970766730394
"465",6.39588259572406
"466",3.97858996263134
"467",2.48491062089144
"468",2.11975925003717
"469",2.0398225854037
"470",4.03256926372053
"471",8.18636615941888
"472",5.34328737359334
"473",5.53026372899944
"474",6.17686770717667
"475",3.47403041952903
"476",2.16290232324284
"477",1.37283236360249
"478",4.51758630650007
"479",8.91254531540036
"480",11.7269427758943
"481",21.4907467608069
"482",20.880657752468
"483",15.6842519656653
"484",24.4604688967167
"485",19.4286957849744
"486",10.442860445312
"487",6.7117991891893
"488",4.33193149686792
"489",3.99355486255444
"490",3.04972746344857
"491",3.93751174170577
"492",6.52564158301841
"493",3.08743680528263
"494",4.01931271334429
"495",5.44220505805621
"496",2.20870313996694
"497",0.960771517378472
"498",0.546082605489256
"499",0.301712212568797
"500",0.173924979388531
"501",0.0974581908237884
"502",0.0551438086371935
"503",0.053983778267739
"504",0.314844319841557
"505",0.0588944517255773
"506",1.73690349413172
"507",2.73071851163917
"508",1.54125312055205
"509",1.28645115033213
"510",0.944772199676201
"511",0.627122355103816
